chamber,year,date,province,prov_code,vote,party,lst.nm,fst.nm
HOUSE,2018,2018-06-14,CORDOBA,14,ABSTENCION,CORDOBA FEDERAL,VIGO,ALEJANDRA MARIA
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,COALICION CIVICA,LOPEZ,JUAN MANUEL
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,EVOLUCION RADICAL,CARRIZO,ANA CARLA
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,EVOLUCION RADICAL,LOUSTEAU,MARTIN
HOUSE,2018,2018-06-14,TUCUMAN,90,AFIRMATIVO,EVOLUCION RADICAL,VILLAVICENCIO,MARIA TERESITA
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,ARROYO,DANIEL FERNANDO
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,ASENCIO,FERNANDO
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,DE MENDIGUREN,JOSE IGNACIO
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,MOREAU,CECILIA
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,MOYANO,JUAN FACUNDO
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,PEREZ,RAUL JOAQUIN
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,SOLA,FELIPE CARLOS
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,TUNDIS,MIRTA
HOUSE,2018,2018-06-14,SANTIAGO DEL ESTERO,86,AFIRMATIVO,FRENTE CIVICO POR SANTIAGO,PASTORIZA,MIRTA AMELIANA
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,DEL PLA,ROMINA
HOUSE,2018,2018-06-14,MISIONES,54,AFIRMATIVO,FRENTE DE LA CONCORDIA MISIONERO,DI STEFANO,DANIEL
HOUSE,2018,2018-06-14,MISIONES,54,AFIRMATIVO,FRENTE DE LA CONCORDIA MISIONERO,FRANCO,JORGE DANIEL
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,ALONSO,LAURA VALERIA
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,ALVAREZ RODRIGUEZ,MARIA CRISTINA
HOUSE,2018,2018-06-14,FORMOSA,34,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,BASTERRA,LUIS EUGENIO
HOUSE,2018,2018-06-14,MISIONES,54,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,BRITEZ,MARIA CRISTINA
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CABANDIE,JUAN
HOUSE,2018,2018-06-14,MENDOZA,50,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CARMONA,GUILLERMO RAMON
HOUSE,2018,2018-06-14,TIERRA DEL FUEGO,94,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CAROL,ANALUZ AILEN
HOUSE,2018,2018-06-14,CORDOBA,14,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CARRO,PABLO
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CASTAGNETO,CARLOS DANIEL
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CERRUTI,GABRIELA
HOUSE,2018,2018-06-14,NEUQUEN,58,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CIAMPINI,JOSE ALBERTO
HOUSE,2018,2018-06-14,SANTA FE,82,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CLERI,MARCOS
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,CORREA,WALTER
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,DE PEDRO,EDUARDO ENRIQUE
HOUSE,2018,2018-06-14,RIO NEGRO,62,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,DOÑATE,CLAUDIO MARTIN
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,ESPINOZA,FERNANDO
HOUSE,2018,2018-06-14,CORDOBA,14,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,ESTEVEZ,GABRIELA BEATRIZ
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,FILMUS,DANIEL
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,FURLAN,FRANCISCO ABEL
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,GARRE,NILDA CELIA
HOUSE,2018,2018-06-14,SANTA FE,82,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,GONZALEZ,JOSEFINA VICTORIA
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,GRANA,ADRIAN EDUARDO
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,GUERIN,MARIA ISABEL
HOUSE,2018,2018-06-14,ENTRE RIOS,30,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,HUSS,JUAN  MANUEL
HOUSE,2018,2018-06-14,CHUBUT,26,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,IGON,SANTIAGO NICOLAS
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,KICILLOF,AXEL
HOUSE,2018,2018-06-14,SANTA CRUZ,78,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,KIRCHNER,MAXIMO CARLOS
HOUSE,2018,2018-06-14,CIUDAD AUTONOMA DE BUENOS AIRES,2,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,LARROQUE,ANDRES
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,MACHA,MONICA
HOUSE,2018,2018-06-14,NEUQUEN,58,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,MARTINEZ,DARIO
HOUSE,2018,2018-06-14,CHACO,22,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,MASIN,MARIA LUCILA
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,MENDOZA,MAYRA SOLEDAD
HOUSE,2018,2018-06-14,CATAMARCA,10,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,MERCADO,VERONICA ELIZABETH
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,MOREAU,LEOPOLDO RAUL GUIDO
HOUSE,2018,2018-06-14,TIERRA DEL FUEGO,94,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,PEREZ,MARTIN ALEJANDRO
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,PIETRAGALLA CORTI,HORACIO
HOUSE,2018,2018-06-14,CHACO,22,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,RACH QUIROGA,ANALIA ALEXANDRA
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,RAVERTA,MARIA FERNANDA
HOUSE,2018,2018-06-14,TIERRA DEL FUEGO,94,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,RODRIGUEZ,MATIAS DAVID
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,RODRIGUEZ,RODRIGO MARTIN
HOUSE,2018,2018-06-14,SANTA FE,82,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,ROSSI,AGUSTIN
HOUSE,2018,2018-06-14,CORRIENTES,18,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,RUIZ ARAGON,JOSE ARNALDO
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,RUSSO,LAURA
HOUSE,2018,2018-06-14,BUENOS AIRES,6,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,SALVAREZZA,ROBERTO
HOUSE,2018,2018-06-14,TUCUMAN,90,AFIRMATIVO,FRENTE PARA LA VICTORIA - PJ,SANTILLAN,WALTER MARCELO
